Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],Error [cts]
20.8001,1186.452,1124.817,1124.787,61.635
20.8041,1147.192,1124.752,1124.722,22.44
20.8081,1104.545,1124.687,1124.657,-20.142
20.8121,1082.259,1124.622,1124.592,-42.363
20.8161,1113.365,1124.557,1124.526,-11.192
20.8201,1203.816,1124.492,1124.461,79.324
20.8241,1165.687,1124.427,1124.396,41.26
20.8281,1170.134,1124.363,1124.331,45.771
20.8321,1140.152,1124.298,1124.266,15.854
20.8361,1123.327,1124.233,1124.201,-0.906
20.8401,1151.254,1124.168,1124.136,27.086
20.8441,1165.978,1124.103,1124.071,41.875
20.8481,1131.51,1124.038,1124.006,7.472
20.8521,1173.237,1123.973,1123.941,49.264
20.8561,1122.692,1123.908,1123.876,-1.216
20.8601,1123.325,1123.843,1123.811,-0.518
20.8641,1090.51,1123.778,1123.746,-33.268
20.8681,1131.339,1123.713,1123.681,7.626
20.8721,1160.905,1123.648,1123.616,37.257
20.8761,1195.399,1123.583,1123.55,71.816
20.8801,1168.579,1123.519,1123.485,45.06
20.8841,1122.448,1123.454,1123.42,-1.006
20.8881,1154.713,1123.389,1123.355,31.324
20.8921,1172.812,1123.324,1123.29,49.488
20.8961,1161.59,1123.259,1123.225,38.331
20.9001,1169.398,1123.194,1123.16,46.204
20.9041,1151.442,1123.129,1123.095,28.313
20.9081,1132.658,1123.064,1123.03,9.594
20.9121,1144.535,1122.999,1122.965,21.536
20.9161,1128.611,1122.934,1122.9,5.677
20.9201,1122.69,1122.87,1122.835,-0.18
20.9241,1163.088,1122.805,1122.77,40.283
20.9281,1116.57,1122.74,1122.705,-6.17
20.9321,1115.701,1122.675,1122.64,-6.974
20.9361,1082.298,1122.61,1122.575,-40.312
20.9401,1061.234,1122.545,1122.509,-61.311
20.9441,1104.18,1122.48,1122.444,-18.3
20.9481,1118.464,1122.415,1122.379,-3.951
20.9521,1142.82,1122.35,1122.314,20.47
20.9561,1147.33,1122.285,1122.249,25.045
20.9601,1156.049,1122.22,1122.184,33.829
20.9641,1173.053,1122.156,1122.119,50.897
20.9681,1158.072,1122.091,1122.054,35.981
20.9721,1155.458,1122.026,1121.989,33.432
20.9761,1126.221,1121.961,1121.924,4.26
20.9801,1121.707,1121.896,1121.859,-0.189
20.9841,1134.196,1121.831,1121.794,12.365
20.9881,1138.548,1121.766,1121.729,16.782
20.9921,1150.866,1121.702,1121.664,29.164
20.9961,1155.179,1121.637,1121.599,33.542
21.0001,1150.471,1121.572,1121.533,28.899
21.0041,1146.594,1121.507,1121.468,25.087
21.0081,1133.49,1121.442,1121.403,12.048
21.0121,1137.97,1121.377,1121.338,16.593
21.0161,1125.059,1121.312,1121.273,3.747
21.0201,1130.665,1121.247,1121.208,9.418
21.0241,1191.877,1121.183,1121.143,70.694
21.0281,1159.194,1121.118,1121.078,38.076
21.0321,1099.044,1121.053,1121.013,-22.009
21.0361,1167.979,1120.988,1120.948,46.991
21.0401,1190.748,1120.923,1120.883,69.825
21.0441,1193.098,1120.858,1120.818,72.24
21.0481,1191.813,1120.793,1120.753,71.02
21.0521,1140.607,1120.729,1120.688,19.878
21.0561,1115.466,1120.664,1120.623,-5.198
21.0601,1125.892,1120.599,1120.558,5.293
21.0641,1114.231,1120.534,1120.492,-6.303
21.0681,1126.667,1120.469,1120.427,6.198
21.0721,1124.363,1120.404,1120.362,3.959
21.0761,1148.919,1120.34,1120.297,28.579
21.0801,1140.093,1120.275,1120.232,19.818
21.0841,1102.26,1120.21,1120.167,-17.95
21.0881,1145.094,1120.145,1120.102,24.949
21.0921,1157.882,1120.08,1120.037,37.802
21.0961,1090.007,1120.016,1119.972,-30.009
21.1001,1118.067,1119.951,1119.907,-1.884
21.1041,1146.819,1119.886,1119.842,26.933
21.1081,1168.214,1119.821,1119.777,48.393
21.1121,1136.214,1119.756,1119.712,16.458
21.1161,1145.562,1119.692,1119.647,25.87
21.1201,1106.676,1119.627,1119.582,-12.951
21.1241,1118.314,1119.562,1119.516,-1.248
21.1281,1121.186,1119.497,1119.451,1.689
21.1321,1129.79,1119.432,1119.386,10.358
21.1361,1132.417,1119.367,1119.321,13.05
21.1401,1132.326,1119.303,1119.256,13.023
21.1441,1166.414,1119.238,1119.191,47.176
21.1481,1190.68,1119.173,1119.126,71.507
21.1521,1146.22,1119.108,1119.061,27.112
21.1561,1090.214,1119.044,1118.996,-28.83
21.1601,1130.031,1118.979,1118.931,11.052
21.1641,1137.689,1118.914,1118.866,18.775
21.1681,1144.837,1118.849,1118.801,25.988
21.1721,1146.379,1118.784,1118.736,27.595
21.1761,1156.519,1118.72,1118.671,37.799
21.1801,1140.456,1118.655,1118.606,21.801
21.1841,1125.551,1118.59,1118.541,6.961
21.1881,1176.717,1118.525,1118.475,58.192
21.1921,1157.542,1118.461,1118.41,39.081
21.1961,1150.752,1118.396,1118.345,32.356
21.2001,1190.788,1118.331,1118.28,72.457
21.2041,1120.141,1118.266,1118.215,1.875
21.2081,1060.633,1118.202,1118.15,-57.569
21.2121,1122.511,1118.137,1118.085,4.374
21.2161,1151.016,1118.072,1118.02,32.944
21.2201,1147.306,1118.007,1117.955,29.299
21.2241,1128.158,1117.943,1117.89,10.215
21.2281,1119.794,1117.878,1117.825,1.916
21.2321,1209.527,1117.813,1117.76,91.714
21.2361,1144.87,1117.749,1117.695,27.121
21.2401,1152.954,1117.684,1117.63,35.27
21.2441,1157.672,1117.619,1117.565,40.053
21.2481,1155.318,1117.554,1117.499,37.764
21.2521,1146.739,1117.49,1117.434,29.249
21.2561,1133.781,1117.425,1117.369,16.356
21.2601,1110.813,1117.36,1117.304,-6.547
21.2641,1114.193,1117.296,1117.239,-3.103
21.2681,1160.184,1117.231,1117.174,42.953
21.2721,1172.592,1117.166,1117.109,55.426
21.2761,1140.111,1117.102,1117.044,23.009
21.2801,1146.722,1117.037,1116.979,29.685
21.2841,1167.37,1116.972,1116.914,50.398
21.2881,1106.584,1116.907,1116.849,-10.323
21.2921,1040.348,1116.843,1116.784,-76.495
21.2961,1092.788,1116.778,1116.719,-23.99
21.3001,1103.7,1116.713,1116.654,-13.013
21.3041,1112.197,1116.649,1116.589,-4.452
21.3081,1087.385,1116.584,1116.523,-29.199
21.3121,1126.38,1116.519,1116.458,9.861
21.3161,1058.402,1116.455,1116.393,-58.053
21.3201,1155.987,1116.39,1116.328,39.597
21.3241,1152.994,1116.325,1116.263,36.669
21.3281,1099.162,1116.261,1116.198,-17.099
21.3321,1160.954,1116.196,1116.133,44.758
21.3361,1139.345,1116.132,1116.068,23.213
21.3401,1129.196,1116.067,1116.003,13.129
21.3441,1179.707,1116.002,1115.938,63.705
21.3481,1159.529,1115.938,1115.873,43.591
21.3521,1158.773,1115.873,1115.808,42.9
21.3561,1174.917,1115.809,1115.743,59.108
21.3601,1163.508,1115.744,1115.678,47.764
21.3641,1160.424,1115.679,1115.613,44.745
21.3681,1145.796,1115.615,1115.548,30.181
21.3721,1103.554,1115.55,1115.482,-11.996
21.3761,1117.242,1115.486,1115.417,1.756
21.3801,1173.255,1115.421,1115.352,57.834
21.3841,1150.719,1115.356,1115.287,35.363
21.3881,1111.813,1115.292,1115.222,-3.479
21.3921,1139.293,1115.227,1115.157,24.066
21.3961,1069.419,1115.163,1115.092,-45.744
21.4001,1121.183,1115.098,1115.027,6.085
21.4041,1169.429,1115.034,1114.962,54.395
21.4081,1111.352,1114.969,1114.897,-3.617
21.4121,1146.778,1114.905,1114.832,31.873
21.4161,1121.139,1114.84,1114.767,6.299
21.4201,1117.793,1114.776,1114.702,3.017
21.4241,1124.976,1114.711,1114.637,10.265
21.4281,1122.973,1114.646,1114.572,8.327
21.4321,1156.762,1114.582,1114.506,42.18
21.4361,1179.726,1114.517,1114.441,65.209
21.4401,1141.667,1114.453,1114.376,27.214
21.4441,1141.879,1114.388,1114.311,27.491
21.4481,1124.162,1114.324,1114.246,9.838
21.4521,1105.336,1114.259,1114.181,-8.923
21.4561,1127.994,1114.195,1114.116,13.799
21.4601,1147.734,1114.13,1114.051,33.604
21.4641,1161.45,1114.066,1113.986,47.384
21.4681,1168.154,1114.001,1113.921,54.153
21.4721,1131.874,1113.937,1113.856,17.937
21.4761,1123.979,1113.873,1113.791,10.106
21.4801,1162.437,1113.808,1113.726,48.629
21.4841,1142.442,1113.744,1113.661,28.698
21.4881,1093.027,1113.679,1113.596,-20.652
21.4921,1108.458,1113.615,1113.531,-5.157
21.4961,1083.326,1113.55,1113.465,-30.224
21.5001,1103.997,1113.486,1113.4,-9.489
21.5041,1148.039,1113.422,1113.335,34.617
21.5081,1132.413,1113.357,1113.27,19.056
21.5121,1180.504,1113.293,1113.205,67.211
21.5161,1144.359,1113.228,1113.14,31.131
21.5201,1181.468,1113.164,1113.075,68.304
21.5241,1111.255,1113.099,1113.01,-1.844
21.5281,1111.432,1113.035,1112.945,-1.603
21.5321,1105.409,1112.971,1112.88,-7.562
21.5361,1136.939,1112.906,1112.815,24.033
21.5401,1105.376,1112.842,1112.75,-7.466
21.5441,1091.886,1112.778,1112.685,-20.892
21.5481,1132.15,1112.713,1112.62,19.437
21.5521,1163.444,1112.649,1112.555,50.795
21.5561,1154.912,1112.585,1112.489,42.327
21.5601,1133.48,1112.52,1112.424,20.96
21.5641,1123.737,1112.456,1112.359,11.281
21.5681,1121.188,1112.392,1112.294,8.796
21.5721,1150.12,1112.327,1112.229,37.793
21.5761,1122.659,1112.263,1112.164,10.396
21.5801,1122.47,1112.199,1112.099,10.271
21.5841,1157.817,1112.134,1112.034,45.683
21.5881,1158.995,1112.07,1111.969,46.925
21.5921,1152.71,1112.006,1111.904,40.704
21.5961,1092.459,1111.942,1111.839,-19.483
21.6001,1161.395,1111.877,1111.774,49.518
21.6041,1158.538,1111.813,1111.709,46.725
21.6081,1126.527,1111.749,1111.644,14.778
21.6121,1088.449,1111.684,1111.579,-23.235
21.6161,1132.102,1111.62,1111.514,20.482
21.6201,1083.46,1111.556,1111.448,-28.096
21.6241,1097.577,1111.492,1111.383,-13.915
21.6281,1058.911,1111.427,1111.318,-52.516
21.6321,1082.774,1111.363,1111.253,-28.589
21.6361,1114.93,1111.299,1111.188,3.631
21.6401,1118.782,1111.235,1111.123,7.547
21.6441,1139.966,1111.171,1111.058,28.795
21.6481,1182.43,1111.107,1110.993,71.323
21.6521,1217.092,1111.042,1110.928,106.05
21.6561,1166.999,1110.978,1110.863,56.021
21.6601,1076.476,1110.914,1110.798,-34.438
21.6641,1100.191,1110.85,1110.733,-10.659
21.6681,1100.946,1110.786,1110.668,-9.84
21.6721,1109.372,1110.721,1110.603,-1.349
21.6761,1133.365,1110.657,1110.538,22.708
21.6801,1129.369,1110.593,1110.472,18.776
21.6841,1159.314,1110.529,1110.407,48.785
21.6881,1039.639,1110.465,1110.342,-70.826
21.6921,1124.851,1110.401,1110.277,14.45
21.6961,1118.96,1110.337,1110.212,8.623
21.7001,1131.038,1110.273,1110.147,20.765
21.7041,1092.237,1110.208,1110.082,-17.971
21.7081,1168.276,1110.144,1110.017,58.132
21.7121,1167.403,1110.08,1109.952,57.323
21.7161,1110.569,1110.016,1109.887,0.553
21.7201,1187.448,1109.952,1109.822,77.496
21.7241,1166.565,1109.888,1109.757,56.677
21.7281,1135.518,1109.824,1109.692,25.694
21.7321,1134.915,1109.76,1109.627,25.155
21.7361,1131.612,1109.696,1109.562,21.916
21.7401,1126.282,1109.632,1109.496,16.65
21.7441,1113.449,1109.568,1109.431,3.881
21.7481,1113.892,1109.504,1109.366,4.388
21.7521,1142.782,1109.44,1109.301,33.342
21.7561,1162.615,1109.376,1109.236,53.239
21.7601,1175.755,1109.312,1109.171,66.443
21.7641,1178.001,1109.248,1109.106,68.753
21.7681,1146.3,1109.184,1109.041,37.116
21.7721,1147.371,1109.12,1108.976,38.251
21.7761,1154.564,1109.056,1108.911,45.508
21.7801,1103.792,1108.992,1108.846,-5.2
21.7841,1091.345,1108.928,1108.781,-17.583
21.7881,1155.493,1108.864,1108.716,46.629
21.7921,1167.456,1108.8,1108.651,58.656
21.7961,1104.518,1108.736,1108.586,-4.218
21.8001,1171.732,1108.672,1108.521,63.06
21.8041,1084.137,1108.609,1108.455,-24.472
21.8081,1073.897,1108.545,1108.39,-34.648
21.8121,1098.331,1108.481,1108.325,-10.15
21.8161,1112.453,1108.417,1108.26,4.036
21.8201,1073.067,1108.353,1108.195,-35.286
21.8241,1052.324,1108.289,1108.13,-55.965
21.8281,1095.874,1108.225,1108.065,-12.351
21.8321,1119.051,1108.161,1108,10.89
21.8361,1119.28,1108.121,1107.958,11.159
21.8401,1142.887,1108.08,1107.916,34.807
21.8441,1138.389,1108.04,1107.875,30.349
21.8481,1128.18,1107.999,1107.833,20.181
21.8521,1134.599,1107.959,1107.791,26.64
21.8561,1076.541,1107.918,1107.749,-31.377
21.8601,1144.809,1107.878,1107.708,36.931
21.8641,1160.756,1107.837,1107.666,52.919
21.8681,1090.212,1107.797,1107.624,-17.585
21.8721,1139.346,1107.756,1107.582,31.59
21.8761,1085.804,1107.716,1107.541,-21.912
21.8801,1126.016,1107.676,1107.499,18.34
21.8841,1062.778,1107.635,1107.457,-44.857
21.8881,1061.094,1107.595,1107.415,-46.501
21.8921,1107.563,1107.554,1107.374,0.009
21.8961,1150.687,1107.514,1107.332,43.173
21.9001,1124.529,1107.474,1107.29,17.055
21.9041,1161.317,1107.433,1107.248,53.884
21.9081,1143.313,1107.393,1107.207,35.92
21.9121,1133.439,1107.352,1107.165,26.087
21.9161,1162.632,1107.312,1107.123,55.32
21.9201,1180.775,1107.271,1107.081,73.504
21.9241,1118.438,1107.231,1107.04,11.207
21.9281,1078.703,1107.191,1106.998,-28.488
21.9321,1114.663,1107.15,1106.956,7.513
21.9361,1143.474,1107.11,1106.914,36.364
21.9401,1143.695,1107.07,1106.873,36.625
21.9441,1112.558,1107.029,1106.831,5.529
21.9481,1079.138,1106.989,1106.789,-27.851
21.9521,1090.055,1106.949,1106.747,-16.894
21.9561,1088.029,1106.909,1106.706,-18.88
21.9601,1128.905,1106.868,1106.664,22.037
21.9641,1056.205,1106.828,1106.622,-50.623
21.9681,1106.671,1106.788,1106.58,-0.117
21.9721,1075.709,1106.747,1106.538,-31.038
21.9761,1105.389,1106.707,1106.497,-1.318
21.9801,1042.822,1106.667,1106.455,-63.845
21.9841,1115.943,1106.627,1106.413,9.316
