No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
137,20.5441,1170.843,1152.026,1151.799,30.25, ,5.0162,,18.817
138,20.5481,1207.916,1151.938,1151.711,30.25, ,5.0153,,55.978
139,20.5521,1174.894,1151.85,1151.623,30.25, ,5.0143,,23.044
140,20.5561,1137.609,1151.762,1151.535,30.25, ,5.0133,,-14.153
141,20.5601,1132.575,1151.674,1151.447,30.25, ,5.0124,,-19.099
142,20.5641,1176.618,1151.587,1151.358,30.25, ,5.0114,,25.031
143,20.5681,1124.609,1151.499,1151.27,30.25, ,5.0104,,-26.89
144,20.5721,1174.66,1151.411,1151.182,30.25, ,5.0095,,23.249
145,20.5761,1203.722,1151.323,1151.094,30.25, ,5.0085,,52.399
146,20.5801,1155.833,1151.235,1151.005,30.25, ,5.0076,,4.598
147,20.5841,1154.891,1151.147,1150.917,30.25, ,5.0066,,3.744
148,20.5881,1158.944,1151.06,1150.829,30.25, ,5.0056,,7.884
149,20.5921,1159.201,1150.972,1150.741,30.25, ,5.0047,,8.229
150,20.5961,1114.574,1150.884,1150.653,30.25, ,5.0037,,-36.31
151,20.6001,1104.505,1150.796,1150.564,30.25, ,5.0027,,-46.291
152,20.6041,1109.393,1150.708,1150.476,30.25, ,5.0018,,-41.315
153,20.6081,1140.025,1150.621,1150.388,30.25, ,5.0008,,-10.596
154,20.6121,1146.235,1150.533,1150.3,30.25, ,4.9999,,-4.298
155,20.6161,1095.072,1150.445,1150.212,30.25, ,4.9989,,-55.373
156,20.6201,1080.524,1150.357,1150.123,30.25, ,4.9979,,-69.833
157,20.6241,1129.93,1150.269,1150.035,30.25, ,4.997,,-20.339
158,20.6281,1164.39,1150.182,1149.947,30.25, ,4.996,,14.208
159,20.6321,1144.913,1150.094,1149.859,30.25, ,4.9951,,-5.181
160,20.6361,1119.798,1150.006,1149.771,30.25, ,4.9941,,-30.208
161,20.6401,1134.346,1149.918,1149.682,30.25, ,4.9932,,-15.572
162,20.6441,1123.819,1149.83,1149.594,30.25, ,4.9922,,-26.011
163,20.6481,1135.929,1149.742,1149.506,30.25, ,4.9912,,-13.813
164,20.6521,1163.889,1149.655,1149.418,30.25, ,4.9903,,14.234
165,20.6561,1158.084,1149.567,1149.33,30.25, ,4.9893,,8.517
166,20.6601,1129.361,1149.479,1149.241,30.25, ,4.9884,,-20.118
167,20.6641,1144.15,1149.391,1149.153,30.25, ,4.9874,,-5.241
168,20.6681,1162.151,1149.303,1149.065,30.25, ,4.9865,,12.848
169,20.6721,1116.953,1149.216,1148.977,30.25, ,4.9855,,-32.263
170,20.6761,1130.982,1149.128,1148.889,30.25, ,4.9846,,-18.146
171,20.6801,1188.956,1149.04,1148.8,30.25, ,4.9836,,39.916
172,20.6841,1156.299,1148.952,1148.712,30.25, ,4.9826,,7.347
173,20.6881,1148.388,1148.865,1148.624,30.25, ,4.9817,,-0.477
174,20.6921,1137.396,1148.777,1148.536,30.25, ,4.9807,,-11.381
175,20.6961,1135.137,1148.689,1148.448,30.25, ,4.9798,,-13.552
176,20.7001,1166.234,1148.601,1148.359,30.25, ,4.9788,,17.633
177,20.7041,1145.422,1148.513,1148.271,30.25, ,4.9779,,-3.091
178,20.7081,1114.522,1148.426,1148.183,30.25, ,4.9769,,-33.904
179,20.7121,1125.619,1148.338,1148.095,30.25, ,4.976,,-22.719
180,20.7161,1149.703,1148.25,1148.007,30.25, ,4.975,,1.453
181,20.7201,1175.649,1148.162,1147.918,30.25, ,4.9741,,27.487
182,20.7241,1144.826,1148.074,1147.83,30.25, ,4.9731,,-3.248
183,20.7281,1137.211,1147.987,1147.742,30.25, ,4.9722,,-10.776
184,20.7321,1143.578,1147.899,1147.654,30.25, ,4.9712,,-4.321
185,20.7361,1160.726,1147.811,1147.566,30.25, ,4.9703,,12.915
186,20.7401,1179.903,1147.723,1147.477,30.25, ,4.9693,,32.18
187,20.7441,1142.668,1147.635,1147.389,30.25, ,4.9684,,-4.967
188,20.7481,1219.027,1147.547,1147.301,30.25, ,4.9674,,71.48
189,20.7521,1191.262,1147.46,1147.213,30.25, ,4.9665,,43.802
190,20.7561,1157.751,1147.372,1147.125,30.25, ,4.9655,,10.379
191,20.7601,1224.149,1147.284,1147.036,30.25, ,4.9646,,76.865
192,20.7641,1201.612,1147.196,1146.948,30.25, ,4.9637,,54.416
193,20.7681,1106.1,1147.109,1146.86,30.25, ,4.9627,,-41.009
194,20.7721,1122.821,1147.021,1146.772,30.25, ,4.9618,,-24.2
195,20.7761,1157.716,1146.933,1146.683,30.25, ,4.9608,,10.783
196,20.7801,1155.167,1146.845,1146.595,30.25, ,4.9599,,8.322
197,20.7841,1150.542,1146.757,1146.507,30.25, ,4.9589,,3.785
198,20.7881,1123.737,1146.67,1146.419,30.25, ,4.958,,-22.933
199,20.7921,1121.573,1146.582,1146.331,30.25, ,4.957,,-25.009
200,20.7961,1165.536,1146.494,1146.242,30.25, ,4.9561,,19.042
201,20.8001,1207.377,1146.406,1146.154,30.25, ,4.9552,,60.971
202,20.8041,1195.738,1146.318,1146.066,30.25, ,4.9542,,49.42
203,20.8081,1141.855,1146.231,1145.978,30.25, ,4.9533,,-4.376
204,20.8121,1140.497,1146.143,1145.89,30.25, ,4.9523,,-5.646
205,20.8161,1185.026,1146.055,1145.801,30.25, ,4.9514,,38.971
206,20.8201,1158.996,1145.967,1145.713,30.25, ,4.9505,,13.029
207,20.8241,1159.619,1145.88,1145.625,30.25, ,4.9495,,13.739
208,20.8281,1085.671,1145.792,1145.537,30.25, ,4.9486,,-60.121
209,20.8321,1088.238,1145.704,1145.449,30.25, ,4.9476,,-57.466
210,20.8361,1143.363,1145.616,1145.36,30.25, ,4.9467,,-2.253
211,20.8401,1138.679,1145.528,1145.272,30.25, ,4.9458,,-6.849
212,20.8441,1174.399,1145.441,1145.184,30.25, ,4.9448,,28.958
213,20.8481,1111.208,1145.353,1145.096,30.25, ,4.9439,,-34.145
214,20.8521,1134.483,1145.265,1145.008,30.25, ,4.9429,,-10.782
215,20.8561,1163.845,1145.177,1144.919,30.25, ,4.942,,18.668
216,20.8601,1103.842,1145.09,1144.831,30.25, ,4.9411,,-41.248
217,20.8641,1114.162,1145.002,1144.743,30.25, ,4.9401,,-30.84
218,20.8681,1153.053,1144.914,1144.655,30.25, ,4.9392,,8.139
219,20.8721,1176.465,1144.826,1144.567,30.25, ,4.9383,,31.639
220,20.8761,1124.847,1144.739,1144.478,30.25, ,4.9373,,-19.892
221,20.8801,1120.591,1144.651,1144.39,30.25, ,4.9364,,-24.06
222,20.8841,1153.197,1144.563,1144.302,30.25, ,4.9354,,8.634
223,20.8881,1136.427,1144.475,1144.214,30.25, ,4.9345,,-8.048
224,20.8921,1123.89,1144.387,1144.126,30.25, ,4.9336,,-20.497
225,20.8961,1128.272,1144.3,1144.037,30.25, ,4.9326,,-16.028
226,20.9001,1125.879,1144.212,1143.949,30.25, ,4.9317,,-18.333
227,20.9041,1144.958,1144.124,1143.861,30.25, ,4.9308,,0.834
228,20.9081,1168.679,1144.036,1143.773,30.25, ,4.9298,,24.643
229,20.9121,1167.74,1143.949,1143.685,30.25, ,4.9289,,23.791
230,20.9161,1109.517,1143.861,1143.596,30.25, ,4.928,,-34.344
231,20.9201,1082.683,1143.773,1143.508,30.25, ,4.9271,,-61.09
232,20.9241,1127.805,1143.685,1143.42,30.25, ,4.9261,,-15.88
233,20.9281,1102.432,1143.597,1143.332,30.25, ,4.9252,,-41.165
234,20.9321,1098.305,1143.51,1143.244,30.25, ,4.9243,,-45.205
235,20.9361,1193.277,1143.422,1143.155,30.25, ,4.9233,,49.855
236,20.9401,1171.256,1143.334,1143.067,30.25, ,4.9224,,27.922
237,20.9441,1156.871,1143.246,1142.979,30.25, ,4.9215,,13.625
238,20.9481,1152.022,1143.159,1142.891,30.25, ,4.9205,,8.863
239,20.9521,1126.092,1143.071,1142.802,30.25, ,4.9196,,-16.979
240,20.9561,1131.611,1142.983,1142.714,30.25, ,4.9187,,-11.372
241,20.9601,1153.037,1142.895,1142.626,30.25, ,4.9178,,10.142
242,20.9641,1134.437,1142.807,1142.538,30.25, ,4.9168,,-8.37
243,20.9681,1172.566,1142.72,1142.45,30.25, ,4.9159,,29.846
244,20.9721,1171.513,1142.632,1142.361,30.25, ,4.915,,28.881
245,20.9761,1173.116,1142.544,1142.273,30.25, ,4.914,,30.572
