No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
144,20.5721,1288.024,1222.766,1222.606,30.25, ,5.0095,,65.258
145,20.5761,1229.768,1222.702,1222.542,30.25, ,5.0085,,7.066
146,20.5801,1260.815,1222.638,1222.478,30.25, ,5.0076,,38.177
147,20.5841,1270.212,1222.575,1222.414,30.25, ,5.0066,,47.637
148,20.5881,1260.069,1222.511,1222.35,30.25, ,5.0056,,37.558
149,20.5921,1204.342,1222.447,1222.285,30.25, ,5.0047,,-18.105
150,20.5961,1212.599,1222.384,1222.221,30.25, ,5.0037,,-9.785
151,20.6001,1219.36,1222.32,1222.157,30.25, ,5.0027,,-2.96
152,20.6041,1251.616,1222.256,1222.093,30.25, ,5.0018,,29.36
153,20.6081,1263.714,1222.193,1222.029,30.25, ,5.0008,,41.521
154,20.6121,1236.5,1222.129,1221.965,30.25, ,4.9999,,14.371
155,20.6161,1221.427,1222.065,1221.9,30.25, ,4.9989,,-0.638
156,20.6201,1207.526,1222.002,1221.836,30.25, ,4.9979,,-14.476
157,20.6241,1185.342,1221.938,1221.772,30.25, ,4.997,,-36.596
158,20.6281,1189.641,1221.874,1221.708,30.25, ,4.996,,-32.233
159,20.6321,1217.789,1221.811,1221.644,30.25, ,4.9951,,-4.022
160,20.6361,1218.981,1221.747,1221.58,30.25, ,4.9941,,-2.766
161,20.6401,1193.827,1221.683,1221.515,30.25, ,4.9932,,-27.856
162,20.6441,1203.725,1221.62,1221.451,30.25, ,4.9922,,-17.895
163,20.6481,1261.254,1221.556,1221.387,30.25, ,4.9912,,39.698
164,20.6521,1192.329,1221.493,1221.323,30.25, ,4.9903,,-29.164
165,20.6561,1222.987,1221.429,1221.259,30.25, ,4.9893,,1.558
166,20.6601,1190.434,1221.365,1221.194,30.25, ,4.9884,,-30.931
167,20.6641,1249.089,1221.302,1221.13,30.25, ,4.9874,,27.787
168,20.6681,1150.608,1221.238,1221.066,30.25, ,4.9865,,-70.63
169,20.6721,1218.372,1221.174,1221.002,30.25, ,4.9855,,-2.802
170,20.6761,1248.547,1221.111,1220.938,30.25, ,4.9846,,27.436
171,20.6801,1228.513,1221.047,1220.874,30.25, ,4.9836,,7.466
172,20.6841,1206.218,1220.983,1220.809,30.25, ,4.9826,,-14.765
173,20.6881,1214.117,1220.92,1220.745,30.25, ,4.9817,,-6.803
174,20.6921,1215.835,1220.856,1220.681,30.25, ,4.9807,,-5.021
175,20.6961,1190.444,1220.793,1220.617,30.25, ,4.9798,,-30.349
176,20.7001,1145.511,1220.729,1220.553,30.25, ,4.9788,,-75.218
177,20.7041,1153.745,1220.665,1220.489,30.25, ,4.9779,,-66.92
178,20.7081,1181.939,1220.602,1220.424,30.25, ,4.9769,,-38.663
179,20.7121,1204.926,1220.538,1220.36,30.25, ,4.976,,-15.612
180,20.7161,1220.821,1220.474,1220.296,30.25, ,4.975,,0.347
181,20.7201,1183.783,1220.411,1220.232,30.25, ,4.9741,,-36.628
182,20.7241,1183.622,1220.347,1220.168,30.25, ,4.9731,,-36.725
183,20.7281,1215.791,1220.284,1220.104,30.25, ,4.9722,,-4.493
184,20.7321,1226.297,1220.22,1220.039,30.25, ,4.9712,,6.077
185,20.7361,1212.418,1220.157,1219.975,30.25, ,4.9703,,-7.739
186,20.7401,1246.763,1220.093,1219.911,30.25, ,4.9693,,26.67
187,20.7441,1182.829,1220.029,1219.847,30.25, ,4.9684,,-37.2
188,20.7481,1207.903,1219.966,1219.783,30.25, ,4.9674,,-12.063
189,20.7521,1224.179,1219.902,1219.718,30.25, ,4.9665,,4.277
